City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto aysen,-45.4,-72.7,1.86,97,89,2.32,CL,1691723064
84,grytviken,-54.2811,-36.5092,0.37,97,100,5.52,GS,1691723065
85,port elizabeth,-33.918,25.5701,20.61,42,0,3.6,ZA,1691722816
86,haiphong,20.8561,106.6822,27.95,89,75,1.03,VN,1691723025
87,egilsstadir,65.2653,-14.3948,6.95,93,75,3.09,IS,1691723065
88,brookings,44.3114,-96.7984,24.19,83,0,6.69,US,1691723065
89,ust-nera,64.5667,143.2,24.11,33,56,0.47,RU,1691723066
90,keflavik,64.0049,-22.5624,14.95,82,75,4.63,IS,1691723066
91,ponta delgada,37.7333,-25.6667,22.4,88,75,4.63,PT,1691723066
92,katsuren-haebaru,26.3369,127.8719,30.78,70,99,0.74,JP,1691723066
93,flying fish cove,-10.4217,105.6791,25.82,78,75,5.66,CX,1691723066
94,tazovsky,67.4667,78.7,7.38,50,0,10.04,RU,1691723066
95,igarka,67.4667,86.5833,10.03,88,100,7.5,RU,1691723067
96,hermanus,-34.4187,19.2345,15.43,55,0,1.72,ZA,1691722945
97,swakopmund,-22.6833,14.5333,13.47,90,10,1.34,NA,1691723067
98,margate,51.3813,1.3862,18.72,78,36,0.89,GB,1691722776
99,gadzhiyevo,69.2551,33.3362,15.87,85,2,4.11,RU,1691723038
100,sigli,5.3848,95.9609,29.01,68,67,0.84,ID,1691723068
101,puerto ayora,-0.7393,-90.3518,24.19,94,36,1.79,EC,1691723068
102,talnakh,69.4865,88.3972,7.34,72,100,7.78,RU,1691723068
103,puerto baquerizo moreno,-0.9,-89.6,23.94,84,18,6.93,EC,1691722814
104,puerto natales,-51.7236,-72.4875,-0.83,94,25,1.48,CL,1691723068
105,sydney,-33.8679,151.2073,19.79,43,20,4.12,AU,1691722722
106,sur,22.5667,59.5289,30.1,60,99,2.64,OM,1691723069
107,aldan,58.6031,125.3894,18.11,70,100,5.11,RU,1691723069
108,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,52,20,5.0,RU,1691723069
109,ghanzi,-21.5667,21.7833,9.27,75,4,3.88,BW,1691723069
110,albany,42.6001,-73.9662,19.11,89,28,1.86,US,1691722949
111,bata,1.8639,9.7658,24.92,94,40,2.06,GQ,1691723070
112,sao joao da barra,-21.6403,-41.0511,22.2,86,0,7.96,BR,1691722874
113,mulayjah,27.271,48.4242,32.92,37,16,1.14,SA,1691723070
114,qaqortoq,60.7167,-46.0333,6.57,79,100,1.0,GL,1691723071
115,loikaw,19.6742,97.2094,24.61,74,100,1.41,MM,1691723071
116,la ronge,55.1001,-105.2842,13.14,94,75,7.2,CA,1691722986
117,ayaviri,-14.8864,-70.5889,6.68,22,15,1.39,PE,1691723071
118,vilyuchinsk,52.9306,158.4028,20.15,73,68,3.38,RU,1691723072
119,fort scott,37.8398,-94.7083,26.07,57,1,3.89,US,1691723072
120,chimoio,-19.1164,33.4833,12.34,95,4,1.55,MZ,1691723072
121,progreso,21.2833,-89.6667,30.62,79,7,7.84,MX,1691723072
122,necochea,-38.5473,-58.7368,10.34,87,100,3.75,AR,1691722830
123,kuqa,41.7278,82.9364,32.72,20,62,1.2,CN,1691723073
124,guerrero negro,27.9769,-114.0611,22.0,83,0,6.72,MX,1691723073
125,port mathurin,-19.6833,63.4167,23.11,78,23,9.24,MU,1691722866
126,pacocha,-17.5833,-71.3333,16.69,89,75,2.36,PE,1691723073
127,sisimiut,66.9395,-53.6735,8.16,86,100,3.3,GL,1691723073
128,avarua,-21.2078,-159.775,24.03,88,75,6.17,CK,1691723073
129,polewali,-3.4324,119.3435,30.31,61,79,2.51,ID,1691723074
130,markovo,57.3206,107.0881,18.79,75,100,3.1,RU,1691723075
131,beira,-19.8436,34.8389,18.05,93,40,4.32,MZ,1691723075
132,savalou,7.9281,1.9756,21.88,97,78,1.58,BJ,1691723076
133,kununurra,-15.7667,128.7333,30.99,25,86,2.57,AU,1691723076
134,itoman,26.1247,127.6694,30.78,84,75,3.09,JP,1691723076
135,peace river,56.2501,-117.286,15.17,94,100,3.09,CA,1691723076
136,vazante,-17.9869,-46.9078,20.12,53,0,0.65,BR,1691723077
137,saint-pierre,-21.3393,55.4781,19.82,64,0,3.09,RE,1691723077
138,cannonvale,-20.2833,148.7,22.66,52,2,5.07,AU,1691723077
139,aasiaat,68.7098,-52.8699,3.74,91,100,0.9,GL,1691723077
140,sugar hill,34.1065,-84.0335,25.27,89,0,0.0,US,1691722923
141,lashio,22.9333,97.75,21.5,99,100,0.75,MM,1691723078
142,laguna de perlas,12.3429,-83.6712,27.02,89,54,3.24,NI,1691723078
143,carnarvon,-24.8667,113.6333,21.53,64,5,2.07,AU,1691723078
144,priozersk,61.0393,30.1291,16.72,92,100,0.91,RU,1691723078
145,kapuskasing,49.4169,-82.4331,15.05,94,100,4.63,CA,1691723079
146,amursk,50.2261,136.8994,24.71,51,4,3.74,RU,1691723079
147,berezovyy,51.6667,135.7,26.35,41,1,1.88,RU,1691723079
148,port saint john's,-31.6229,29.5448,16.11,82,0,2.94,ZA,1691723079
149,bol'shoy kamen',43.1225,132.3583,21.94,96,99,2.52,RU,1691723079
150,ilulissat,69.2167,-51.1,7.01,87,100,1.03,GL,1691723080
151,nar'yan-mar,67.6713,53.087,14.84,66,6,1.49,RU,1691723080
152,parabel',58.6978,81.4825,12.72,96,100,4.37,RU,1691723080
153,urangan,-25.3,152.9,19.48,65,0,5.64,AU,1691723081
154,oltinko'l,40.8011,72.1634,30.12,29,5,3.19,UZ,1691723081
155,east london,-33.0153,27.9116,18.28,51,0,4.32,ZA,1691723081
156,remire-montjoly,4.9167,-52.2667,23.02,100,70,0.0,GF,1691723081
157,humaita,-7.5061,-63.0208,24.86,73,81,1.39,BR,1691723082
158,sandpoint,48.2766,-116.5533,23.16,50,22,0.45,US,1691722922
159,tralee,52.2704,-9.7026,13.27,96,11,2.63,IE,1691723082
160,kuala terengganu,5.3302,103.1408,29.97,79,20,1.03,MY,1691723082
161,san juan nepomuceno,9.9516,-75.082,25.17,91,100,1.57,CO,1691723082
162,villa de soto,-30.8552,-64.9995,15.22,43,45,7.1,AR,1691723083
163,kerikeri,-35.2268,173.9474,13.73,44,6,2.83,NZ,1691723083
164,nouadhibou,20.931,-17.0347,21.99,88,40,3.09,MR,1691723083
165,el calafate,-50.3408,-72.2768,-0.91,74,45,3.48,AR,1691723083
166,parham,17.0968,-61.7705,27.83,46,40,1.54,AG,1691723042
167,longyearbyen,78.2186,15.6401,9.91,81,100,1.54,SJ,1691723084
168,shimoda,34.6667,138.95,31.2,66,1,7.1,JP,1691723084
169,asau,46.4333,26.4,12.51,75,85,2.02,RO,1691723084
170,coeur d'alene,47.6777,-116.7805,26.2,36,20,0.0,US,1691722843
171,corinto,37.9407,22.9573,22.16,71,8,1.71,GR,1691723084
172,georgetown,5.4112,100.3354,31.08,76,20,2.06,MY,1691723085
173,constantia,44.1833,28.65,19.38,68,98,7.54,RO,1691723085
174,codrington,-38.2667,141.9667,13.44,74,100,5.95,AU,1691723085
175,punta del este,-34.9667,-54.95,15.06,91,100,1.03,UY,1691722802
176,kuching,1.55,110.3333,32.29,71,20,3.13,MY,1691722791
177,rio grande,-32.035,-52.0986,16.64,99,69,3.83,BR,1691723086
178,silapathar,26.206,93.8095,26.48,93,100,1.31,IN,1691723051
179,teodoro sampaio,-22.5325,-52.1675,23.04,35,0,2.84,BR,1691723001
180,fenyi,27.8112,114.6681,32.57,61,30,2.48,CN,1691723086
181,ghat,24.9647,10.1728,26.66,24,0,1.26,LY,1691723087
182,urzhar,47.093,81.6294,26.19,42,99,1.11,KZ,1691723087
